date;direction;internal;calls_count;duration_per_call;total_duration_per_call
2019-08-04 21:00:00;out;True;3;0,0;1,6666666666666667
2019-08-04 21:00:00;out;True;1;0,0;1,0
2019-08-04 21:00:00;out;True;1;10,0;18,0
2019-08-04 21:00:00;out;False;3;0,0;8,333333333333334
2019-08-04 21:00:00;out;False;2;1,5;14,5
2019-08-04 21:00:00;out;False;8;0,0;6,25
2019-08-05 21:00:00;out;False;3;0,0;9,666666666666666
2019-08-05 21:00:00;out;False;5;0,0;14,0
2019-08-05 21:00:00;out;True;2;0,0;2,5
2019-08-05 21:00:00;out;False;5;160,0;163,8
2019-08-06 21:00:00;out;False;1;0,0;15,0
2019-08-06 21:00:00;out;False;1;21,0;28,0
2019-08-06 21:00:00;out;False;2;116,0;120,0
2019-08-06 21:00:00;out;False;1;0,0;17,0
2019-08-07 21:00:00;out;False;2;279,0;284,0
2019-08-07 21:00:00;out;False;4;0,0;7,0
2019-08-08 21:00:00;out;False;17;94,29411764705883;101,47058823529412
2019-08-08 21:00:00;out;False;2;0,0;1,0
2019-08-08 21:00:00;out;False;2;0,0;5,0
2019-08-11 21:00:00;out;False;20;103,7;109,55
2019-08-11 21:00:00;out;True;1;0,0;26,0
2019-08-11 21:00:00;in;False;1;407,0;411,0
2019-08-12 21:00:00;out;True;2;0,0;11,5
2019-08-12 21:00:00;out;False;4;64,5;71,75
2019-08-12 21:00:00;out;True;1;0,0;16,0
2019-08-12 21:00:00;out;False;10;64,7;78,8
2019-08-12 21:00:00;in;False;1;88,0;102,0
2019-08-12 21:00:00;out;False;1;0,0;60,0
2019-08-13 21:00:00;out;False;7;0,0;15,0
2019-08-13 21:00:00;in;False;2;98,5;109,0
2019-08-13 21:00:00;in;False;1;33,0;37,0
2019-08-13 21:00:00;out;True;2;0,0;0,0
2019-08-13 21:00:00;out;False;18;149,22222222222223;154,55555555555554
2019-08-13 21:00:00;out;False;7;0,0;5,428571428571429
2019-08-13 21:00:00;out;False;10;156,7;165,4
2019-08-14 21:00:00;out;False;11;128,45454545454547;133,9090909090909
2019-08-14 21:00:00;out;False;8;0,0;57,25
2019-08-14 21:00:00;out;False;19;139,6315789473684;146,26315789473685
2019-08-14 21:00:00;in;False;1;23,0;27,0
2019-08-14 21:00:00;out;False;15;0,0;22,0
2019-08-15 21:00:00;out;False;6;0,0;41,5
2019-08-15 21:00:00;out;False;15;110,53333333333333;114,26666666666667
2019-08-15 21:00:00;out;False;4;0,0;7,25
2019-08-15 21:00:00;out;False;15;104,93333333333334;111,6
2019-08-15 21:00:00;out;True;3;0,0;0,6666666666666666
2019-08-18 21:00:00;out;False;13;0,0;10,923076923076923
2019-08-18 21:00:00;out;False;14;108,5;114,14285714285714
